ENA study accession,number of co-infection samples,number of good-quality samples in the study,co-infection prevalence (%)
PRJEB37886,759,801761,0.09466661511348144
PRJNA731148,277,233288,0.11873735468605329
PRJNA715749,190,135145,0.1405897369492027
PRJNA750736,550,124402,0.44211507853571486
PRJNA731152,1400,105805,1.3231888852133642
PRJNA720050,125,84200,0.14845605700712589
PRJNA716985,472,75477,0.6253560687361713
PRJNA686984,26,67197,0.03869220352099052
PRJNA704697,978,59459,1.6448308918750736
PRJEB40277,9,46180,0.0194889562581204
PRJNA731149,72,36546,0.19701198489574784
PRJEB47340,20,28150,0.07104795737122557
PRJEB43166,50,21217,0.23566008389498988
PRJEB43828,22,18532,0.11871357651629613
PRJNA622837,6,17879,0.03355892387717434
PRJNA743046,1672,17184,9.729981378026071
PRJEB45305,29,14872,0.19499731038192578
PRJNA713804,25,13594,0.18390466382227452
PRJEB43060,8,13290,0.06019563581640331
PRJNA645906,12,12779,0.09390406135065342
PRJNA639066,2,12650,0.015810276679841896
PRJNA786923,3,11162,0.026876903780684466
PRJNA612578,40,11136,0.35919540229885055
PRJNA689853,40,11007,0.3634051058417371
PRJNA625551,3,9259,0.032400907225402314
PRJNA708324,8,8286,0.09654839488293507
PRJNA767338,67,7698,0.8703559366069109
PRJNA764181,13,7648,0.16997907949790794
PRJNA656534,6,7589,0.07906179997364607
PRJEB42396,97,7389,1.3127622141020436
PRJNA636748,67,7352,0.911316648531012
PRJEB39014,3,6719,0.04464950141390088
PRJNA614504,1,6562,0.015239256324291375
PRJNA736036,1,6237,0.0160333493666827
PRJNA746690,7,6172,0.11341542449773169
PRJEB50650,18,6169,0.29178148808558924
PRJEB44141,30,5763,0.5205622071837585
PRJNA673096,9,4829,0.18637399047421827
PRJEB43444,4,4786,0.08357709987463435
PRJEB42961,5,4692,0.10656436487638533
PRJNA754449,24,3635,0.6602475928473177
PRJNA737658,7,3089,0.22661055357720944
PRJEB44396,14,2432,0.5756578947368421
PRJNA738869,2,2151,0.09298000929800093
PRJNA788132,10,2076,0.4816955684007707
PRJNA625669,9,1767,0.5093378607809848
PRJNA748084,6,1709,0.3510825043885313
PRJEB52934,2,1608,0.12437810945273632
PRJEB43319,13,1254,1.036682615629984
PRJNA707536,2,1195,0.16736401673640167
PRJNA766604,108,1130,9.557522123893806
PRJEB49489,1,836,0.11961722488038277
PRJNA725674,16,797,2.0075282308657467
PRJEB49431,12,782,1.5345268542199488
PRJNA824869,4,774,0.5167958656330749
PRJNA717113,9,773,1.1642949547218628
PRJNA728463,4,766,0.5221932114882507
PRJNA788338,1,553,0.18083182640144665
PRJNA759787,2,545,0.3669724770642202
PRJNA634356,1,535,0.18691588785046728
PRJNA773611,1,499,0.20040080160320642
PRJEB53987,2,491,0.4073319755600815
PRJNA633948,6,414,1.4492753623188406
PRJEB42601,18,382,4.712041884816754
PRJNA733903,3,373,0.8042895442359249
PRJNA727735,1,322,0.3105590062111801
PRJNA744530,1,288,0.3472222222222222
PRJNA767891,5,254,1.968503937007874
PRJNA831650,1,253,0.3952569169960474
PRJEB43562,4,206,1.941747572815534
PRJNA817870,117,152,76.97368421052632
PRJNA735252,1,104,0.9615384615384616
PRJNA817806,44,101,43.56435643564357
PRJNA853723,82,97,84.5360824742268
PRJNA772074,1,86,1.1627906976744187
PRJEB45462,1,86,1.1627906976744187
PRJEB47105,1,83,1.2048192771084338
PRJEB47112,2,82,2.4390243902439024
PRJEB47114,1,80,1.25
PRJEB49204,1,79,1.2658227848101267
PRJEB47111,1,76,1.3157894736842106
PRJEB47110,4,76,5.2631578947368425
PRJNA751078,6,75,8.0
PRJEB47113,1,73,1.36986301369863
PRJEB50429,1,70,1.4285714285714286
PRJNA774631,1,64,1.5625
PRJEB50275,3,60,5.0
PRJNA610428,2,46,4.3478260869565215
PRJNA824540,1,12,8.333333333333334
PRJNA809680,5,8,62.5
PRJNA827817,5,7,71.42857142857143
PRJNA748832,1,6,16.666666666666668
PRJNA698337,1,6,16.666666666666668
PRJNA728440,1,4,25.0
PRJNA804575,1,1,100.0
